horizon,store_id,model,MAE,"MAPE, %",rows,fold
4,все,baseline_two_weeks_ago,61.291666666666664,9.19273359894077,72,1
4,все,prophet,49.4593511557816,7.94996133892873,72,1
4,все,boosting,44.555449947683094,6.746787046741436,72,1
4,1,baseline_week_ago,67.11111111111111,12.726579264070963,36,1
4,1,baseline_two_weeks_ago,54.44444444444444,10.471342614526371,36,1
4,1,prophet,48.09838765477079,9.485356223478819,36,1
4,1,boosting,36.43561910674805,7.1550781436851345,36,1
4,20,baseline_week_ago,76.58333333333333,9.04783061959742,36,1
4,20,baseline_two_weeks_ago,68.13888888888889,7.914124583355169,36,1
4,20,prophet,50.820314656792384,6.414566454378639,36,1
4,20,boosting,52.675280788618124,6.338495949797738,36,1
5,все,baseline_week_ago,71.84722222222223,10.887204941834192,72,1
5,все,baseline_two_weeks_ago,61.291666666666664,9.19273359894077,72,1
5,все,prophet,49.640948036591155,8.006113755255447,72,1
5,все,boosting,44.17553599283479,6.7865237125668,72,1
5,1,baseline_week_ago,67.11111111111111,12.726579264070963,36,1
5,1,baseline_two_weeks_ago,54.44444444444444,10.471342614526371,36,1
5,1,prophet,48.60794324658982,9.59151092747681,36,1
5,1,boosting,37.89577018163997,7.427196287766829,36,1
5,20,baseline_week_ago,76.58333333333333,9.04783061959742,36,1
5,20,baseline_two_weeks_ago,68.13888888888889,7.914124583355169,36,1
5,20,prophet,50.673952826592505,6.420716583034085,36,1
5,20,boosting,50.45530180402961,6.145851137366771,36,1
6,все,baseline_week_ago,71.84722222222223,10.887204941834192,72,1
6,все,baseline_two_weeks_ago,61.291666666666664,9.19273359894077,72,1
6,все,prophet,49.649057158326805,8.004728971314131,72,1
6,все,boosting,44.187036375753756,6.822897728383823,72,1
6,1,baseline_week_ago,67.11111111111111,12.726579264070963,36,1
6,1,baseline_two_weeks_ago,54.44444444444444,10.471342614526371,36,1
6,1,prophet,48.86204743123332,9.646532730662354,36,1
6,1,boosting,37.730545736984226,7.439691138246141,36,1
6,20,baseline_week_ago,76.58333333333333,9.04783061959742,36,1
6,20,baseline_two_weeks_ago,68.13888888888889,7.914124583355169,36,1
6,20,prophet,50.43606688542028,6.362925211965911,36,1
6,20,boosting,50.643527014523286,6.206104318521508,36,1
7,все,baseline_week_ago,71.84722222222223,10.887204941834192,72,1
7,все,baseline_two_weeks_ago,61.291666666666664,9.19273359894077,72,1
7,все,prophet,50.226755298638714,8.068112421505967,72,1
7,все,boosting,44.48635119637575,6.877654664736029,72,1
7,1,baseline_week_ago,67.11111111111111,12.726579264070963,36,1
7,1,baseline_two_weeks_ago,54.44444444444444,10.471342614526371,36,1
7,1,prophet,48.775856585845695,9.637615919568383,36,1
7,1,boosting,38.761708826689265,7.628345629085014,36,1
7,20,baseline_week_ago,76.58333333333333,9.04783061959742,36,1
7,20,baseline_two_weeks_ago,68.13888888888889,7.914124583355169,36,1
7,20,prophet,51.67765401143172,6.498608923443554,36,1
7,20,boosting,50.21099356606222,6.126963700387046,36,1
1,все,baseline_week_ago,95.66161616161617,14.646304256562326,66,2
1,все,baseline_two_weeks_ago,81.25252525252526,12.663944546922087,66,2
1,все,prophet,46.11636790459124,6.696871139014923,66,2
1,все,boosting,48.041660850009016,7.124995504614665,66,2
1,1,baseline_week_ago,111.7979797979798,20.283370713737973,33,2
1,1,baseline_two_weeks_ago,101.22222222222221,18.239326542068962,33,2
1,1,prophet,38.47146070109061,6.838560345730837,33,2
1,1,boosting,42.80976101227584,7.722943904885677,33,2
1,20,baseline_week_ago,79.52525252525253,9.00923779938668,33,2
1,20,baseline_two_weeks_ago,61.282828282828284,7.088562551775213,33,2
1,20,prophet,53.76127510809187,6.5551819322990115,33,2
1,20,boosting,53.27356068774219,6.527047104343656,33,2
2,все,baseline_week_ago,95.66161616161617,14.646304256562326,66,2
2,все,baseline_two_weeks_ago,81.25252525252526,12.663944546922087,66,2
2,все,prophet,46.21888942371813,6.735523124301568,66,2
2,все,boosting,51.17930549830309,7.703590568948569,66,2
2,1,baseline_week_ago,111.7979797979798,20.283370713737973,33,2
2,1,baseline_two_weeks_ago,101.22222222222221,18.239326542068962,33,2
2,1,prophet,39.13905528398762,6.959189469680627,33,2
2,1,boosting,50.97578524307045,9.189179838410215,33,2
2,20,baseline_week_ago,79.52525252525253,9.00923779938668,33,2
2,20,baseline_two_weeks_ago,61.282828282828284,7.088562551775213,33,2
2,20,prophet,53.29872356344863,6.511856778922508,33,2
2,20,boosting,51.382825753535734,6.2180012994869225,33,2
3,все,baseline_week_ago,95.66161616161617,14.646304256562326,66,2
3,все,baseline_two_weeks_ago,81.25252525252526,12.663944546922087,66,2
3,все,prophet,46.594957956824715,6.782647557640366,66,2
3,все,boosting,53.635368919863865,8.143115771425338,66,2
3,1,baseline_week_ago,111.7979797979798,20.283370713737973,33,2
3,1,baseline_two_weeks_ago,101.22222222222221,18.239326542068962,33,2
3,1,prophet,39.30843842038665,6.984298723864285,33,2
3,1,boosting,55.442963073573125,9.968294135640571,33,2
3,20,baseline_week_ago,79.52525252525253,9.00923779938668,33,2
3,20,baseline_two_weeks_ago,61.282828282828284,7.088562551775213,33,2
3,20,prophet,53.881477493262786,6.580996391416447,33,2
3,20,boosting,51.827774766154604,6.317937407210106,33,2
4,все,baseline_week_ago,95.66161616161617,14.646304256562326,66,2
4,все,baseline_two_weeks_ago,81.25252525252526,12.663944546922087,66,2
4,все,prophet,46.529883560889,6.794463055736399,66,2
4,все,boosting,56.08611184008006,8.435501742102689,66,2
4,1,baseline_week_ago,111.7979797979798,20.283370713737973,33,2
4,1,baseline_two_weeks_ago,101.22222222222221,18.239326542068962,33,2
4,1,prophet,39.953124414765334,7.089682725848326,33,2
4,1,boosting,56.84581431801284,10.19612979939456,33,2
4,20,baseline_week_ago,79.52525252525253,9.00923779938668,33,2
4,20,baseline_two_weeks_ago,61.282828282828284,7.088562551775213,33,2
4,20,prophet,53.106642707012654,6.499243385624472,33,2
4,20,boosting,55.326409362147274,6.674873684810816,33,2
5,все,baseline_week_ago,95.66161616161617,14.646304256562326,66,2
5,все,baseline_two_weeks_ago,81.25252525252526,12.663944546922087,66,2
5,все,prophet,46.6389920904358,6.817379779695557,66,2
5,все,boosting,56.54014794834421,8.532486530028878,66,2
5,1,baseline_week_ago,111.7979797979798,20.283370713737973,33,2
5,1,baseline_two_weeks_ago,101.22222222222221,18.239326542068962,33,2
5,1,prophet,40.08958059755116,7.119282889659359,33,2
5,1,boosting,58.9480843680178,10.591449692700559,33,2
5,20,baseline_week_ago,79.52525252525253,9.00923779938668,33,2
5,20,baseline_two_weeks_ago,61.282828282828284,7.088562551775213,33,2
5,20,prophet,53.18840358332044,6.515476669731752,33,2
5,20,boosting,54.132211528670624,6.473523367357199,33,2
6,все,baseline_week_ago,95.66161616161617,14.646304256562326,66,2
6,все,baseline_two_weeks_ago,81.25252525252526,12.663944546922087,66,2
6,все,prophet,46.57031491027212,6.80467420761636,66,2
6,все,boosting,56.95318074650764,8.663443666769512,66,2
6,1,baseline_week_ago,111.7979797979798,20.283370713737973,33,2
6,1,baseline_two_weeks_ago,101.22222222222221,18.239326542068962,33,2
6,1,prophet,39.78904255422919,7.065464438612717,33,2
6,1,boosting,61.52718079163683,11.071701508817453,33,2
6,20,baseline_week_ago,79.52525252525253,9.00923779938668,33,2
6,20,baseline_two_weeks_ago,61.282828282828284,7.088562551775213,33,2
6,20,prophet,53.35158726631505,6.54388397662,33,2
6,20,boosting,52.37918070137845,6.255185824721569,33,2
7,все,baseline_week_ago,95.66161616161617,14.646304256562326,66,2
7,все,baseline_two_weeks_ago,81.25252525252526,12.663944546922087,66,2
7,все,prophet,46.05585499084353,6.732281862416112,66,2
7,все,boosting,55.99631802440947,8.551946131714224,66,2
7,1,baseline_week_ago,111.7979797979798,20.283370713737973,33,2
7,1,baseline_two_weeks_ago,101.22222222222221,18.239326542068962,33,2
7,1,prophet,39.2813384335093,6.981564626147388,33,2
7,1,boosting,61.239499080764425,10.982376369076006,33,2
7,20,baseline_week_ago,79.52525252525253,9.00923779938668,33,2
7,20,baseline_two_weeks_ago,61.282828282828284,7.088562551775213,33,2
7,20,prophet,52.83037154817775,6.4829990986848385,33,2
7,20,boosting,50.753136968054505,6.121515894352447,33,2
1,все,baseline_week_ago,77.87878787878788,12.047295214963203,66,3
1,все,baseline_two_weeks_ago,67.08080808080808,10.23938753242437,66,3
1,все,prophet,51.33633960721692,7.581185154810638,66,3
1,все,boosting,46.70180808609523,6.754279409395303,66,3
1,1,baseline_week_ago,69.64141414141415,13.78397396243628,33,3
1,1,baseline_two_weeks_ago,60.15151515151515,12.010744358686958,33,3
1,1,prophet,39.84270388672856,7.848548166367017,33,3
1,1,boosting,30.398586753663892,6.158304341244106,33,3
1,20,baseline_week_ago,86.1161616161616,10.310616467490123,33,3
1,20,baseline_two_weeks_ago,74.01010101010101,8.468030706161782,33,3
1,20,prophet,62.82997532770528,7.313822143254259,33,3
1,20,boosting,63.005029418526576,7.3502544775465015,33,3
2,все,baseline_week_ago,77.87878787878788,12.047295214963203,66,3
2,все,baseline_two_weeks_ago,67.08080808080808,10.23938753242437,66,3
2,все,prophet,51.88267253107986,7.672609083629464,66,3
2,все,boosting,50.0930873531265,7.397761025071925,66,3
2,1,baseline_week_ago,69.64141414141415,13.78397396243628,33,3
2,1,baseline_two_weeks_ago,60.15151515151515,12.010744358686958,33,3
2,1,prophet,40.540282562213015,7.984412898050902,33,3
2,1,boosting,36.10191751045276,7.338014609463967,33,3
2,20,baseline_week_ago,86.1161616161616,10.310616467490123,33,3
2,20,baseline_two_weeks_ago,74.01010101010101,8.468030706161782,33,3
2,20,prophet,63.22506249994671,7.360805269208029,33,3
2,20,boosting,64.08425719580025,7.4575074406798825,33,3
3,все,baseline_week_ago,77.87878787878788,12.047295214963203,66,3
3,все,baseline_two_weeks_ago,67.08080808080808,10.23938753242437,66,3
3,все,prophet,52.27186547152707,7.734119595868988,66,3
3,все,boosting,48.275012381261746,7.122411196208946,66,3
3,1,baseline_week_ago,69.64141414141415,13.78397396243628,33,3
3,1,baseline_two_weeks_ago,60.15151515151515,12.010744358686958,33,3
3,1,prophet,40.909624810147264,8.05111997549524,33,3
3,1,boosting,35.41937302720616,7.12316607832356,33,3
3,20,baseline_week_ago,86.1161616161616,10.310616467490123,33,3
3,20,baseline_two_weeks_ago,74.01010101010101,8.468030706161782,33,3
3,20,prophet,63.63410613290687,7.417119216242736,33,3
3,20,boosting,61.13065173531734,7.121656314094328,33,3
4,все,baseline_week_ago,77.87878787878788,12.047295214963203,66,3
4,все,baseline_two_weeks_ago,67.08080808080808,10.23938753242437,66,3
4,все,prophet,52.47764779472869,7.749144642579838,66,3
4,все,boosting,48.702818792880045,7.1768604159003395,66,3
4,1,baseline_week_ago,69.64141414141415,13.78397396243628,33,3
4,1,baseline_two_weeks_ago,60.15151515151515,12.010744358686958,33,3
4,1,prophet,41.10834540499451,8.079553908702476,33,3
4,1,boosting,35.56862798617377,7.1391153053333785,33,3
