fold,store_id,"coverage, %",rows
1,1,62.698412698412696,252
1,20,65.47619047619048,252
2,1,44.15584415584416,231
2,20,70.12987012987013,231
3,1,61.904761904761905,231
3,20,64.06926406926407,231
4,1,71.42857142857143,252
4,20,65.87301587301587,252
